,embedding,instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap
33,vggish,guitar,openmic,irmas,0.196875,0.546242774566474,0.2894333843797855,346.0,0.4429771908763505,0.4782645822385706,0.1971136578335451
34,vggish,organ,openmic,irmas,0.1145833333333333,0.3793103448275862,0.176,174.0,0.6290516206482593,0.5244329912791593,0.1276876898299419
35,vggish,piano,openmic,irmas,0.1069182389937107,0.5,0.1761658031088083,170.0,0.5228091236494598,0.5202186222082416,0.1152501841920677
36,vggish,saxophone,openmic,irmas,0.0629067245119305,0.1933333333333333,0.0949263502454991,150.0,0.6680672268907563,0.464160070360598,0.0811522366836269
37,vggish,trumpet,openmic,irmas,0.0887372013651877,0.52,0.151603498542274,150.0,0.4759903961584634,0.4968117854001759,0.0961172555360511
38,vggish,violin,openmic,irmas,0.0806201550387596,0.7272727272727273,0.1451500348918353,143.0,0.2647058823529412,0.4688896133413533,0.0766333823347825
39,vggish,voice,openmic,irmas,0.1175059952038369,0.7696335078534031,0.203883495145631,191.0,0.3109243697478991,0.5065613630313249,0.1265759941841034
40,openl3,cello,irmas,irmas,0.0584707646176911,0.4148936170212766,0.102496714848883,94.0,0.5900360144057623,0.5054206594120513,0.055934216206687
41,openl3,clarinet,irmas,irmas,0.0781954887218045,0.4094488188976378,0.1313131313131313,127.0,0.5870348139255702,0.489672709040025,0.079612626034176
42,openl3,flute,irmas,irmas,0.0727699530516431,0.256198347107438,0.1133455210237659,121.0,0.7088835534213686,0.4798523629944636,0.0687741487159422
43,openl3,guitar,irmas,irmas,0.2167070217917675,0.5173410404624278,0.3054607508532423,346.0,0.5114045618247299,0.5189284463128394,0.2263686793360865
44,openl3,organ,irmas,irmas,0.1071428571428571,0.3448275862068966,0.1634877384196185,174.0,0.631452581032413,0.4708830236356353,0.0980790621020894
45,openl3,piano,irmas,irmas,0.0866965620328849,0.3411764705882353,0.1382598331346841,170.0,0.5660264105642256,0.4787590437244416,0.1005857105049345
46,openl3,saxophone,irmas,irmas,0.0917721518987341,0.3866666666666666,0.1483375959079284,150.0,0.6002400960384153,0.4799340369393139,0.0894759746318565
47,openl3,trumpet,irmas,irmas,0.0867158671586715,0.3133333333333333,0.1358381502890173,150.0,0.6410564225690276,0.5108707124010554,0.0900076743845744
48,openl3,violin,irmas,irmas,0.0617760617760617,0.2237762237762237,0.096822995461422,143.0,0.641656662665066,0.5053239603469413,0.0865249503084931
49,openl3,voice,irmas,irmas,0.12248322147651,0.3821989528795811,0.1855146124523507,191.0,0.6152460984393757,0.5338858816221492,0.1308023811089297
50,openl3,cello,openmic,openmic,0.5045871559633027,0.4867256637168141,0.4954954954954955,226.0,0.5381443298969072,0.5490313322171729,0.5035541735967956
51,openl3,clarinet,openmic,openmic,0.2410714285714285,0.3941605839416058,0.2991689750692521,137.0,0.6046875,0.5132272061064271,0.2400613328777938
52,openl3,flute,openmic,openmic,0.3211382113821138,0.4514285714285714,0.3752969121140143,175.0,0.5320284697508897,0.4990033222591362,0.3027565282393726
53,openl3,guitar,openmic,openmic,0.6775510204081633,0.5804195804195804,0.6252354048964218,286.0,0.5435779816513762,0.5125174825174825,0.6563201303470706
54,openl3,organ,openmic,openmic,0.2580645161290322,0.396694214876033,0.3127035830618892,121.0,0.5104408352668214,0.4704878699013596,0.2695861302291947
55,openl3,piano,openmic,openmic,0.6889763779527559,0.6140350877192983,0.6493506493506493,285.0,0.5445783132530121,0.4949797570850203,0.6765060953504209
56,openl3,saxophone,openmic,openmic,0.4672619047619047,0.5147540983606558,0.4898595943837753,305.0,0.4801271860095389,0.494535519125683,0.4993441701854391
57,openl3,trumpet,openmic,openmic,0.4020356234096692,0.4968553459119497,0.4444444444444444,318.0,0.4968152866242038,0.5081612864126702,0.411919161143879
58,openl3,violin,openmic,openmic,0.625,0.5329949238578681,0.5753424657534247,394.0,0.508716323296355,0.4863244018933796,0.6094455599130577
59,openl3,voice,openmic,openmic,0.59,0.5267857142857143,0.5566037735849056,224.0,0.4973262032085561,0.475625,0.5860717827127017
60,openl3,cello,irmas,openmic,0.4421052631578947,0.3716814159292035,0.4038461538461538,226.0,0.488659793814433,0.4664810195783647,0.4488400577933916
61,openl3,clarinet,irmas,openmic,0.1927710843373494,0.3503649635036496,0.2487046632124352,137.0,0.546875,0.4971484958859978,0.2210965616543993
62,openl3,flute,irmas,openmic,0.2740384615384615,0.3257142857142857,0.2976501305483029,175.0,0.5213523131672598,0.4471613141380583,0.2834272685123292
63,openl3,guitar,irmas,openmic,0.68,0.4755244755244755,0.5596707818930041,286.0,0.5091743119266054,0.5226340326340326,0.6871405565349791
