embedding,instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap
vggish,violin,openmic,openmic,0.8828337874659401,0.8223350253807107,0.8515111695137976,394.0,0.820919175911252,0.9126775043372102,0.9359845944654556
vggish,voice,openmic,openmic,0.9333333333333332,0.875,0.9032258064516128,224.0,0.8877005347593583,0.96,0.9712383181739944
vggish,cello,irmas,openmic,0.6387665198237885,0.6415929203539823,0.640176600441501,226.0,0.6639175257731958,0.7101855331943828,0.6161916128493659
vggish,clarinet,irmas,openmic,0.3085106382978723,0.4233576642335766,0.3569230769230769,137.0,0.6734375,0.6599526926035031,0.334042580893254
vggish,flute,irmas,openmic,0.4432234432234432,0.6914285714285714,0.5401785714285713,175.0,0.6334519572953736,0.7180657069029162,0.5695820552737675
vggish,guitar,irmas,openmic,0.9522058823529412,0.9055944055944056,0.92831541218638,286.0,0.908256880733945,0.9643589743589744,0.9789625955860252
vggish,organ,irmas,openmic,0.3676470588235294,0.6198347107438017,0.4615384615384615,121.0,0.5939675174013921,0.6558784324180219,0.3782879373215819
vggish,piano,irmas,openmic,0.9430604982206404,0.9298245614035088,0.9363957597173144,285.0,0.9132530120481928,0.9661808367071524,0.9846969885579696
vggish,saxophone,irmas,openmic,0.7256944444444444,0.6852459016393443,0.7048903878583473,305.0,0.7217806041335453,0.790963367739324,0.7462990729076688
vggish,trumpet,irmas,openmic,0.6140350877192983,0.550314465408805,0.5804311774461027,318.0,0.6777070063694267,0.7356133758905363,0.634349705263118
vggish,violin,irmas,openmic,0.8085106382978723,0.7715736040609137,0.7896103896103895,394.0,0.7432646592709984,0.7999850071751375,0.8558295954974579
vggish,voice,irmas,openmic,0.9476439790575916,0.8080357142857143,0.872289156626506,224.0,0.8582887700534759,0.956607142857143,0.965128432068789
vggish,cello,openmic,irmas,0.1294326241134751,0.776595744680851,0.2218844984802431,94.0,0.6926770708283313,0.8200151588977316,0.3603310870803101
vggish,clarinet,openmic,irmas,0.1702479338842975,0.8110236220472441,0.2814207650273224,127.0,0.6842737094837935,0.8392708221413844,0.4076724442673524
vggish,flute,openmic,irmas,0.1150537634408602,0.8842975206611571,0.203615604186489,121.0,0.4975990396158463,0.776645537457541,0.3283055597015163
vggish,guitar,openmic,irmas,0.3567708333333333,0.791907514450867,0.4919210053859963,346.0,0.6602641056422569,0.7901055351199859,0.57124394199999
vggish,organ,openmic,irmas,0.2101910828025477,0.1896551724137931,0.1993957703927492,174.0,0.84093637454982,0.6797171119534067,0.1870446286869164
vggish,piano,openmic,irmas,0.2314049586776859,0.8235294117647058,0.3612903225806452,170.0,0.7028811524609844,0.8360254797106008,0.4498274067180712
vggish,saxophone,openmic,irmas,0.1899529042386185,0.8066666666666666,0.3074968233799238,150.0,0.6728691476590636,0.8138478452066843,0.3711529182184623
vggish,trumpet,openmic,irmas,0.20578231292517,0.8066666666666666,0.3279132791327913,150.0,0.7022809123649459,0.8453737906772207,0.4857229058945269
vggish,violin,openmic,irmas,0.1754684838160136,0.7202797202797203,0.2821917808219178,143.0,0.6854741896758704,0.7788134386952509,0.3286075487090176
vggish,voice,openmic,irmas,0.3879668049792531,0.9790575916230366,0.5557206537890045,191.0,0.8205282112845138,0.980729434732452,0.8815867686600045
openl3,cello,irmas,irmas,0.54,0.8617021276595744,0.6639344262295082,94.0,0.95078031212485,0.9674219046072222,0.778929474013791
openl3,clarinet,irmas,irmas,0.4806629834254143,0.6850393700787402,0.564935064935065,127.0,0.9195678271308524,0.9047801773316348,0.6716058229726707
