,instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
34,organ,B,A,0.5450236966824644,0.8846153846153846,0.6744868035190615,130.0,0.884375,0.960982391102873,0.7831809027219452,vggish
35,piano,B,A,0.6484375,0.8137254901960784,0.7217391304347825,102.0,0.9333333333333333,0.958853238265003,0.8104648392391703,vggish
36,saxophone,B,A,0.28431372549019607,0.7532467532467533,0.41281138790035593,77.0,0.828125,0.8556279507581886,0.5098297568757856,vggish
37,trumpet,B,A,0.36548223350253806,0.8470588235294118,0.5106382978723405,85.0,0.85625,0.922944537815126,0.7092198283481488,vggish
38,violin,B,A,0.28695652173913044,0.4852941176470588,0.36065573770491804,68.0,0.878125,0.8294810076496967,0.3914694797803402,vggish
39,voice,B,A,0.7342657342657343,0.963302752293578,0.8333333333333333,109.0,0.95625,0.986664366799987,0.9404403886962543,vggish
40,cello,A,A,0.22666666666666666,0.85,0.35789473684210527,40.0,0.8729166666666667,0.9414402173913043,0.5980815582071423,vggish-lda
41,clarinet,A,A,0.27230046948356806,0.8285714285714286,0.40989399293286216,70.0,0.8260416666666667,0.9156179775280899,0.5794676760538465,vggish-lda
42,flute,A,A,0.25,0.7017543859649122,0.3686635944700461,57.0,0.8572916666666667,0.8729187309358668,0.4954684802566132,vggish-lda
43,guitar,A,A,0.6353790613718412,0.7927927927927928,0.7054108216432866,222.0,0.846875,0.9146097316829025,0.8189981286989901,vggish-lda
44,organ,A,A,0.5,0.9076923076923077,0.644808743169399,130.0,0.8645833333333334,0.9649860982391102,0.7959020142769586,vggish-lda
45,piano,A,A,0.5944055944055944,0.8333333333333334,0.6938775510204082,102.0,0.921875,0.9410050733580145,0.8095589850890944,vggish-lda
46,saxophone,A,A,0.273542600896861,0.7922077922077922,0.4066666666666667,77.0,0.8145833333333333,0.8543042461502258,0.5526764738144906,vggish-lda
47,trumpet,A,A,0.3728813559322034,0.7764705882352941,0.5038167938931298,85.0,0.8645833333333334,0.9179966386554622,0.6900880512327838,vggish-lda
48,violin,A,A,0.2388888888888889,0.6323529411764706,0.34677419354838707,68.0,0.83125,0.8374439461883407,0.3638972570368413,vggish-lda
49,voice,A,A,0.7803030303030303,0.944954128440367,0.8547717842323651,109.0,0.9635416666666666,0.9874621330544745,0.9472836206441139,vggish-lda
